"Offense","Count"
"ASSAULT W/INTENT TO COMMIT SEXUAL PENETRATION",2
"ASSAULT WITH INTENT TO RAPE",2
"ATMP STAT SOD-1ST-INJ/WEP-VIC<12",2
"ATMPT STAT SODOMY-1ST DEG-PERS<14",2
"ATT ENTICE CHILD-ACT21-CHLD<15",2
"ATTEMPT TO RECEIVE CHILD PORNOGRAPHY",2
"ATTEMPTED ABUSE OF CHILD",2
"ATTEMPTED AGGRAVATED CRIMINAL SODOMY",2
"ATTEMPTED AGGRAVATED INDECENT SOLICITATION OF A CHILD",2
"ATTEMPTED ATMP ENTICE-ACTOR > 21/CHILD < 15",2
"ATTEMPTED CHILD MOLES-1ST DEG-INJRY",2
"ATTEMPTED CRIMINAL SEXUAL CONDUCT 3RD DEGREE",2
"ATTEMPTED FORC SODOMY-W WPN OR INJ",2
"ATTEMPTED FURN PORNO/ATMPT TO MINOR",2
"ATTEMPTED INDECENT SOLICITATION OF A CHILD",2
"ATTEMPTED PROMOTING OBSCENITY-1ST DEGREE",2
"ATTEMPTED RAPE 1ST DEGREE",2
"ATTEMPTED SEXUAL CONDUCT WITH MINOR",2
"ATTEMPTED SEXUAL MISCONDUCT-1ST",2
"CARNAL ABUSE",2
"CARNAL KNOWLEDGE OF A JUVENILE",2
"CARNAL KNOWLEDGE OF A MINOR",2
"CHILD MOLEST-1ST DEG-VIC<12-PREV",2
"CHILD MOLESTATION 3RD DEGREE",2
"COMPUTER CHILD PORNOGRAPHY",2
"CONSPIRACY STATUTORY RAPE-2ND DEGRE",2
"CRIMES AGAINST NATURE",2
"CRIMINAL ATTEMPTED RAPE",2
"CRIMINAL SEXUAL CONDUCT 2ND DEGREE (PERSON UNDER 13)",2
"CRIMINAL SEXUAL CONDUCT 3RD",2
"CRIMINAL SEXUAL MISCONDUCT",2
"CRIMINAL SEXUAL MISCONDUCT 3RD DEGREE",2
"CRIMINAL SODOMY",2
"ENTICE CHILD-ACTOR>21/CHILD<15",2
"FELONIOUS SEXUAL ASSAULT",2
"FURN PORNO/ATMPT MINORS-2ND OFNS",2
"INDECENCY WITH CHILD BY CONTACT",2
"INDECENCY WITH MINOR",2
"INDECENT ACTS WITH A CHILD",2
"INDECENT ACTS WITH A MINOR",2
"INDECENT ACTS WITH CHILD",2
"INDECENT ASSAULT AND BATTERY OF A CHILD UNDER 14",2
"INDECENT CONTACT WITH CHILD",2
"INDECENT CONTACT WITH MINOR",2
"INDECENT LIBERTIES W/ MINOR",2
"INDECENT LIBERTIES W/MINOR",2
"INDECENY WITH CHILD",2
"INTERSTATE TRAVEL TO ATTEMPT TO ENGAGE IN SEXUAL ACT WITH A MINOR",2
"KIDNAP-FACIL FEL/INJURY/TERROR",2
"KIDNAPPING OF A SEXUAL NATURE",2
"LACIVIOUS ACTS WITH A CHILD",2
"LASCIVIOUS ACTS WITH A MINOR",2
"LEWD & LASCIVIOUS BEHAVIOR",2
"LEWD & LASCIVIOUS CONDUCT",2
"LEWD ACT ON CHILD UNDER 14",2
"LEWD ACT UPON A CHILD",2
"LEWD ACTS UPON A CHILD",2
"LEWD ACTS WITH A CHILD",2
"LEWD ACTS WITH CHILD UNDER 14",2
"LEWD ACTS WITH MINOR",2
"LEWD AND LACIVIOUS ACTS WITH A CHILD",2
"LEWD AND LACIVIOUS BEHAVIOR",2
"LEWD AND LASCIVIOUS ACTS WITH MINOR",2
"LEWD AND LASCIVIOUS MOLESTATION",2
"LEWD CONDUCT WITH A CHILD",2
"LEWD CONDUCT WITH MINOR",2
"LEWD OR LASCIVIOUS ACT WITH A CHILD",2
"LEWD/LASCIVIOUS ACT WITH A CHILD",2
"ORAL COPULATION WITH PERSON UNDER 18",2
"PANDERING A CHILD",2
"POSS OF CHILD PORNOGRAPHY",2
"POSSESSION OF CHILD PORNGRAPHY",2
"POSSESSION OF PORNOGRAPHIC MATERIALS",2
"POSSESSION OF PORNOGRAPHY",2
"PROMOT PROST - 1ST DEG",2
"PROMOTE CHILD PORN TO MINOR-1ST DEG",2
"RAPE BY INSTRUMENTATION",2
"RAPE OF A CHILD 2ND DEGREE",2
"RAPE OF A CHILD 3RD DEGREE",2
"RECEIPT OF CHILD PORNOGRAPHY OVER THE INTERNET",2
"SEX ABUSE 2ND DEGREE",2
"SEX CONTCT W/STU BY EMPL-SCH PROP",2
"SEX OFFENSE",2
"SEX OFFENSE AGAINST A CHILD",2
"SEX PERM-CHILD-EMOT INJY",2
"SEXUAL ABUSE 3RD",2
